_id,ota,information.latitude,information.longitude,information.city,information.postalCode,information.chainName
42183_CLEARTRIP,CLEARTRIP,26.297487,73.0215,Jodhpur,342001,NA
42189_CLEARTRIP,CLEARTRIP,24.579933,73.68669,Udaipur,313001,NA
42163_CLEARTRIP,CLEARTRIP,13.040656,80.24369,Chennai,600017,The Residency Group of Hotels
42199_CLEARTRIP,CLEARTRIP,17.706406,83.30975,Visakhapatnam,530002,NA
42212_CLEARTRIP,CLEARTRIP,27.04443,88.26781,Darjeeling,734101,NA
42219_CLEARTRIP,CLEARTRIP,30.11752,78.31284,Rishikesh,249304,NA
42226_CLEARTRIP,CLEARTRIP,30.964548,77.19432,Chail,173217,NA
42242_CLEARTRIP,CLEARTRIP,25.583542,91.900566,Shillong,793001,NA
42257_CLEARTRIP,CLEARTRIP,27.34069,88.609985,Gangtok,737101,NA
42231_CLEARTRIP,CLEARTRIP,31.139275,77.22402,Shimla,171001,NA
42264_CLEARTRIP,CLEARTRIP,24.590439,72.71395,Mount Abu,307501,NA
42268_CLEARTRIP,CLEARTRIP,13.630202,79.4206,Tirupati,517 501,NA
42273_CLEARTRIP,CLEARTRIP,24.59185,72.70459,Mount Abu,307501,NA
42280_CLEARTRIP,CLEARTRIP,25.321493,82.99746,Varanasi,221010,NA
42285_CLEARTRIP,CLEARTRIP,27.461672,77.67341,Mathura,281001,NA
42157_CLEARTRIP,CLEARTRIP,13.014154,80.22319,Chennai,600015,NA
42291_CLEARTRIP,CLEARTRIP,32.72417,74.86125,Jammu,180001,Fortune Hotels
42310_CLEARTRIP,CLEARTRIP,29.545845,79.103806,Corbett,244715,NA
42301_CLEARTRIP,CLEARTRIP,29.935286,78.13684,Haridwar,249407,NA
42324_CLEARTRIP,CLEARTRIP,29.45316,79.14194,Corbett, 244 715,NA
423297_CLEARTRIP,CLEARTRIP,9.96293,76.241905,Kochi,682001,NA
423289_CLEARTRIP,CLEARTRIP,32.98959,74.928894,Katra,182301,NA
423334_CLEARTRIP,CLEARTRIP,22.527754,88.34358,Kolkata,700025,NA
423329_CLEARTRIP,CLEARTRIP,28.53659,77.23906,New Delhi,110048,NA
423388_CLEARTRIP,CLEARTRIP,13.001467,76.098526,Hassan,573201,NA
423428_CLEARTRIP,CLEARTRIP,23.037287,72.566284,Ahmedabad,380009,NA
42346_CLEARTRIP,CLEARTRIP,32.253296,77.17982,Manali,175131,NA
423393_CLEARTRIP,CLEARTRIP,15.573009,73.77331,Goa,403518,NA
423471_CLEARTRIP,CLEARTRIP,18.753237,73.4033,Lonavala,410401,NA
423551_CLEARTRIP,CLEARTRIP,8.387457,76.97867,Kovalam,695521,NA
42352_CLEARTRIP,CLEARTRIP,32.250263,77.17807,Manali,175131,NA
423592_CLEARTRIP,CLEARTRIP,28.301737,74.96919,Churu,331001,NA
42150_CLEARTRIP,CLEARTRIP,13.046003,80.2579,Chennai,600086,NA
42357_CLEARTRIP,CLEARTRIP,32.234173,77.19589,Manali,175131,NA
423671_CLEARTRIP,CLEARTRIP,15.229507,73.942055,Goa,403721,NA
42365_CLEARTRIP,CLEARTRIP,9.596283,76.430626,Kumarakom,686566,NA
423707_CLEARTRIP,CLEARTRIP,28.558575,77.20014,New Delhi,110029,NA
423694_CLEARTRIP,CLEARTRIP,13.062442,80.264114,Chennai,600002,NA
423724_CLEARTRIP,CLEARTRIP,10.998677,76.96433,Coimbatore,641 001,NA
42375_CLEARTRIP,CLEARTRIP,9.611699,76.501236,Kumarakom,686015,NA
423742_CLEARTRIP,CLEARTRIP,11.040233,77.04053,Coimbatore,641014,NA
42362_CLEARTRIP,CLEARTRIP,32.2214,77.191505,Manali,175131,NA
42388_CLEARTRIP,CLEARTRIP,30.45892,78.072365,Mussoorie,248179,NA
42401_CLEARTRIP,CLEARTRIP,28.464947,77.06461,Gurugram,122001,Lemon Tree Hotels
42412_CLEARTRIP,CLEARTRIP,31.635677,74.874245,Amritsar,143001,NA
423657_CLEARTRIP,CLEARTRIP,19.772505,74.47928,Shirdi,423109,NA
42419_CLEARTRIP,CLEARTRIP,30.531511,79.56425,Auli,231211,NA
42453_CLEARTRIP,CLEARTRIP,29.339514,79.555664,Bhimtal,263136,NA
42427_CLEARTRIP,CLEARTRIP,12.311036,76.6594,Mysore,570001,NA
42382_CLEARTRIP,CLEARTRIP,30.450535,78.0826,Mussoorie,248179,NA
42464_CLEARTRIP,CLEARTRIP,32.534367,75.97948,Dalhousie,176304,NA
42523_CLEARTRIP,CLEARTRIP,32.98853,74.92361,Katra,182301,NA
42471_CLEARTRIP,CLEARTRIP,30.338062,78.05292,Dehradun,248001,NA
42507_CLEARTRIP,CLEARTRIP,26.928347,75.792564,Jaipur,302016,NA
42530_CLEARTRIP,CLEARTRIP,32.99096,74.93726,Katra,182301,NA
42552_CLEARTRIP,CLEARTRIP,10.24901,77.50221,Kodaikanal,624101,NA
42539_CLEARTRIP,CLEARTRIP,10.161128,76.38908,Kochi,683572,NA
42547_CLEARTRIP,CLEARTRIP,10.183898,76.380486,Kochi,683572,NA
42559_CLEARTRIP,CLEARTRIP,10.233086,77.49424,Kodaikanal,624103,Club Mahindra
42487_CLEARTRIP,CLEARTRIP,29.098297,75.96304,Hissar,122002,Welcome
42578_CLEARTRIP,CLEARTRIP,34.150993,77.564644,Leh,194101,NA
42605_CLEARTRIP,CLEARTRIP,29.4753,79.6429,Mukteshwar,263132,NA
42590_CLEARTRIP,CLEARTRIP,30.889338,75.85281,Ludhiana,142002,NA
42643_CLEARTRIP,CLEARTRIP,29.667103,79.476456,Ranikhet,263645,WelcomHeritage
42627_CLEARTRIP,CLEARTRIP,19.782892,85.78192,Puri,752001,NA
42659_CLEARTRIP,CLEARTRIP,26.74204,88.43687,Dead City,734001,NA
42651_CLEARTRIP,CLEARTRIP,17.441395,78.4996,Secunderabad,500003,Ohris Group
42671_CLEARTRIP,CLEARTRIP,21.20912,72.83894,Surat,395008,NA
42683_CLEARTRIP,CLEARTRIP,22.309145,73.18468,Vadodara,390005,NA
42620_CLEARTRIP,CLEARTRIP,25.600817,85.12582,Patna,800001,NA
42692_CLEARTRIP,CLEARTRIP,22.312332,73.17203,Vadodara,390007,NA
42734_CLEARTRIP,CLEARTRIP,15.32013,73.90205,Goa,403731,NA
42698_CLEARTRIP,CLEARTRIP,18.918959,72.83112,Mumbai,400001,NA
42749_CLEARTRIP,CLEARTRIP,27.16264,78.034485,Agra,282001,NA
42759_CLEARTRIP,CLEARTRIP,15.545144,73.77308,Goa,403516,Mac Group
42711_CLEARTRIP,CLEARTRIP,19.06712,72.99969,Navi Mumbai,400703,NA
42767_CLEARTRIP,CLEARTRIP,15.652164,74.11439,Goa,403708,NA
42791_CLEARTRIP,CLEARTRIP,18.985132,73.26979,Matheran,410102,NA
42780_CLEARTRIP,CLEARTRIP,9.73247,77.14958,Thekkady,685551,NA
42705_CLEARTRIP,CLEARTRIP,19.137125,72.84625,Mumbai,400102,NA
42841_CLEARTRIP,CLEARTRIP,27.155733,78.03234,Agra,282001,NA
