_id,ota,information.latitude,information.longitude,information.city,information.postalCode,information.chainName
00014900_TRAVELGURU,TRAVELGURU,22.291214,70.80313,RAJKOT,360001,--None--
00014914_TRAVELGURU,TRAVELGURU,30.70945,76.758286,CHANDIGARH,160051,--None--
00014925_TRAVELGURU,TRAVELGURU,22.4667,78.4333,PACHMARHI,461881,--None--
00014928_TRAVELGURU,TRAVELGURU,9.606793,77.17444,THEKKADY,685509,--None--
00014931_TRAVELGURU,TRAVELGURU,9.604626,77.171234,THEKKADY,685536,--None--
00014948_TRAVELGURU,TRAVELGURU,28.605059,77.241516,NEW DELHI,110011,--None--
00014943_TRAVELGURU,TRAVELGURU,9.620002,77.15595,THEKKADY,585509,--None--
00014960_TRAVELGURU,TRAVELGURU,30.89869,76.97682,KASAULI,173208,--None--
00014972_TRAVELGURU,TRAVELGURU,18.007418,76.06883,TULJAPUR,413601,--None--
00014977_TRAVELGURU,TRAVELGURU,20.388714,78.10716,YAVATMAL,445001,--None--
00014981_TRAVELGURU,TRAVELGURU,23.035799,72.43546,AHMEDABAD,380001,--None--
00014964_TRAVELGURU,TRAVELGURU,32.23942,77.18763,MANALI,175131,ADB Hotels
00014988_TRAVELGURU,TRAVELGURU,23.017965,72.56773,AHMEDABAD,380006,--None--
00014984_TRAVELGURU,TRAVELGURU,23.02855,72.58139,AHMEDABAD,380001,--None--
00014969_TRAVELGURU,TRAVELGURU,18.521711,73.84421,PUNE,411004,--None--
00014991_TRAVELGURU,TRAVELGURU,22.4667,78.4333,PACHMARHI,461881,ADB Hotels
00014854_TRAVELGURU,TRAVELGURU,16.993717,73.32604,RATNAGIRI,415639,--None--
00014997_TRAVELGURU,TRAVELGURU,25.175293,75.852486,KOTA,324007,--None--
00015008_TRAVELGURU,TRAVELGURU,22.4667,78.4333,PACHMARHI,461881,--None--
00015011_TRAVELGURU,TRAVELGURU,23.004486,72.55252,AHMEDABAD,380001,--None--
00015015_TRAVELGURU,TRAVELGURU,23.0276,72.58157,AHMEDABAD,380001,--None--
00015020_TRAVELGURU,TRAVELGURU,23.025862,72.58132,AHMEDABAD,380001,--None--
00015027_TRAVELGURU,TRAVELGURU,29.149187,75.72166,HISAR,125001,--None--
